N;Municipio;CD_GEOCMU;x;y;CodIBGE;Município;Populacao;Analfabetismo;TerFundamental;TerMedio;FunMedio;IFSC;IFC;CAMPUS
141;LACERDÓPOLIS;4209201;-51,59045;-27,25086;4209201;Lacerdópolis;2197;6,07;57;29;86;;;NA
142;LAGES;4209300;-50,34086;-28,02012;4209300;Lages;156737;6,15;3567;1729;5296;1;;IFSC
143;LAGUNA;4209409;-48,82603;-28,486;4209409;Laguna;51554;6,65;1062;530;1592;;;NA
144;LAJEADO GRANDE;4209458;-52,55222;-26,85477;4209458;Lajeado Grande;1490;7,69;43;11;54;;;NA
145;LAURENTINO;4209508;-49,73285;-27,20751;4209508;Laurentino;6005;4,71;207;70;277;;;NA
146;LAURO MULLER;4209607;-49,45263;-28,38442;4209607;Lauro Muller;14366;5,37;311;162;473;;;NA
147;LEBON RÉGIS;4209706;-50,70266;-26,85813;4209706;Lebon Régis;11862;12,78;242;143;385;;;NA
148;LEOBERTO LEAL;4209805;-49,25728;-27,47182;4209805;Leoberto Leal;3365;10,79;72;35;107;;;NA
149;LINDÓIA DO SUL;4209854;-52,05213;-27,03131;4209854;Lindóia do Sul;4642;5,89;91;49;140;;;NA
150;LONTRAS;4209904;-49,50692;-27,1893;4209904;Lontras;10248;6,45;280;66;346;;;NA
151;LUIZ ALVES;4210001;-48,89115;-26,72696;4210001;Luiz Alves;10449;4,89;204;122;326;;;NA
152;LUZERNA;4210035;-51,50629;-27,09036;4210035;Luzerna;5599;2,6;121;114;235;;;NA
153;MACIEIRA;4210050;-51,35447;-26,80321;4210050;Macieira;1826;8,84;40;13;53;;;NA
154;MAFRA;4210100;-49,88937;-26,2009;4210100;Mafra;52920;4,71;1270;665;1935;;1;IFC
155;MAJOR GERCINO;4210209;-49,0533;-27,42777;4210209;Major Gercino;3279;8,15;48;48;96;;;NA
156;MAJOR VIEIRA;4210308;-50,36199;-26,48111;4210308;Major Vieira;7479;6,78;168;89;257;;;NA
157;MARACAJÁ;4210407;-49,45571;-28,86389;4210407;Maracajá;6409;6,32;159;64;223;;;NA
158;MARAVILHA;4210506;-53,1984;-26,75986;4210506;Maravilha;22104;5,86;416;251;667;;;NA
159;MAREMA;4210555;-52,63025;-26,81241;4210555;Marema;2203;8,55;64;19;83;;;NA
160;MASSARANDUBA;4210605;-48,98827;-26,62636;4210605;Massaranduba;14668;4,13;229;169;398;;;NA
161;MATOS COSTA;4210704;-51,1421;-26,48058;4210704;Matos Costa;2838;11,94;79;33;112;;;NA
162;MELEIRO;4210803;-49,602;-28,8416;4210803;Meleiro;7002;5,27;103;89;192;;;NA
163;MIRIM DOCE;4210852;-50,17432;-27,18594;4210852;Mirim Doce;2513;8,08;49;28;77;;;NA
164;MODELO;4210902;-53,05153;-26,77511;4210902;Modelo;4047;7,94;96;54;150;;;NA
165;MONDAÍ;4211009;-53,44638;-27,09879;4211009;Mondaí;10231;4,86;305;94;399;;;NA
166;MONTE CARLO;4211058;-50,92794;-27,19335;4211058;Monte Carlo;9312;12,93;192;68;260;;;NA
167;MONTE CASTELO;4211108;-50,28988;-26,66068;4211108;Monte Castelo;8348;8,46;232;105;337;;;NA
168;MORRO DA FUMAÇA;4211207;-49,24214;-28,63778;4211207;Morro da Fumaça;16126;6,33;380;153;533;;;NA
169;MORRO GRANDE;4211256;-49,74026;-28,72173;4211256;Morro Grande;2890;6,57;50;27;77;;;NA
170;NAVEGANTES;4211306;-48,72728;-26,8288;4211306;Navegantes;60588;5,57;987;503;1490;;;NA
171;NOVA ERECHIM;4211405;-52,90667;-26,90809;4211405;Nova Erechim;4275;7,36;111;54;165;;;NA
172;NOVA ITABERABA;4211454;-52,83323;-26,9614;4211454;Nova Itaberaba;4267;9,37;125;50;175;;;NA
173;NOVA TRENTO;4211504;-49,042;-27,31306;4211504;Nova Trento;12179;4,73;184;128;312;;;NA
174;NOVA VENEZA;4211603;-49,58492;-28,68464;4211603;Nova Veneza;13316;3,84;250;155;405;;;NA
175;NOVO HORIZONTE;4211652;-52,79621;-26,49441;4211652;Novo Horizonte;2750;12;61;59;120;;;NA
176;ORLEANS;4211702;-49,37284;-28,2799;4211702;Orleans;21395;5,88;421;217;638;;;NA
177;OTACÍLIO COSTA;4211751;-49,97157;-27,51731;4211751;Otacílio Costa;16348;8,47;297;162;459;;;NA
178;OURO;4211801;-51,68187;-27,28382;4211801;Ouro;7371;4,66;159;74;233;;;NA
179;OURO VERDE;4211850;-52,27901;-26,71156;4211850;Ouro Verde;2271;11,81;63;19;82;;;NA
180;PAIAL;4211876;-52,48792;-27,21316;4211876;Paial;1763;9,42;38;19;57;;;NA
181;PAINEL;4211892;-50,07272;-27,96338;4211892;Painel;2353;11,98;78;23;101;;;NA
182;PALHOÇA;4211900;-48,66154;-27,772;4211900;Palhoça;137199;5,46;2945;1199;4144;1;;IFSC
183;PALMA SOLA;4212007;-53,31429;-26,37358;4212007;Palma Sola;7765;8,63;186;84;270;;;NA
184;PALMEIRA;4212056;-50,16161;-27,56289;4212056;Palmeira;2376;12,69;73;22;95;;;NA
185;PALMITOS;4212106;-53,17978;-27,09219;4212106;Palmitos;16021;7,75;265;170;435;;;NA
186;PAPANDUVA;4212205;-50,17139;-26,4987;4212205;Papanduva;17931;8,23;436;222;658;;;NA
187;PARAÍSO;4212239;-53,67778;-26,66228;4212239;Paraíso;4080;10,59;113;48;161;;;NA
188;PASSO DE TORRES;4212254;-49,72107;-29,2675;4212254;Passo de Torres;6631;9,8;94;58;152;;;NA
189;PASSOS MAIA;4212270;-51,9605;-26,70579;4212270;Passos Maia;4429;9,83;148;41;189;;;NA
190;PAULO LOPES;4212304;-48,76092;-27,96436;4212304;Paulo Lopes;6692;11,92;183;54;237;;;NA
191;PEDRAS GRANDES;4212403;-49,20478;-28,47903;4212403;Pedras Grandes;4107;5,95;56;20;76;;;NA
192;PENHA;4212502;-48,65058;-26,80755;4212502;Penha;25140;4,8;415;297;712;;;NA
193;PERITIBA;4212601;-51,87483;-27,35096;4212601;Peritiba;2988;2,64;76;30;106;;;NA
194;PESCARIA BRAVA;4212650;-48,88512;-28,40128;4212650;Pescaria Brava;;;;;0;;;NA
195;PETROLÂNDIA;4212700;-49,68265;-27,54561;4212700;Petrolândia;6131;8,33;130;69;199;;;NA
196;PINHALZINHO;4212908;-52,97665;-26,82932;4212908;Pinhalzinho;16335;5,98;368;196;564;;;NA
197;PINHEIRO PRETO;4213005;-51,23551;-27,04928;4213005;Pinheiro Preto;3147;5,65;64;36;100;;;NA
198;PIRATUBA;4213104;-51,77289;-27,46122;4213104;Piratuba;4786;6,12;79;86;165;;;NA
199;PLANALTO ALEGRE;4213153;-52,86911;-27,05228;4213153;Planalto Alegre;2659;11,41;67;36;103;;;NA
200;POMERODE;4213203;-49,1733;-26,72859;4213203;Pomerode;27772;2,61;370;278;648;;;NA
201;PONTE ALTA;4213302;-50,29897;-27,41068;4213302;Ponte Alta;4895;12,63;148;62;210;;;NA
202;PONTE ALTA DO NORTE;4213351;-50,41821;-27,18023;4213351;Ponte Alta do Norte;3303;9,35;94;20;114;;;NA
203;PONTE SERRADA;4213401;-51,92833;-26,86173;4213401;Ponte Serrada;11031;10,33;297;129;426;;;NA
204;PORTO BELO;4213500;-48,61645;-27,17477;4213500;Porto Belo;16118;5,74;277;133;410;;;NA
205;PORTO UNIÃO;4213609;-51,00794;-26,38321;4213609;Porto União;33497;4,48;748;578;1326;;;NA
206;POUSO REDONDO;4213708;-49,97754;-27,28667;4213708;Pouso Redondo;14812;7,12;359;125;484;;;NA
207;PRAIA GRANDE;4213807;-49,98958;-29,18182;4213807;Praia Grande;7270;10;145;83;228;;;NA
208;PRESIDENTE CASTELLO BRANCO;4213906;-51,78109;-27,23345;4213906;Presidente Castelo Branco;1724;4,24;23;24;47;;;NA
209;PRESIDENTE GETÚLIO;4214003;-49,71412;-27,06203;4214003;Presidente Getúlio;14886;4,01;223;147;370;;;NA
210;PRESIDENTE NEREU;4214102;-49,3546;-27,26784;4214102;Presidente Nereu;2284;10,97;65;28;93;;;NA
211;PRINCESA;4214151;-53,61139;-26,43282;4214151;Princesa;2758;9,76;67;39;106;;;NA
212;QUILOMBO;4214201;-52,71887;-26,72924;4214201;Quilombo;10251;8,71;201;157;358;;;NA
213;RANCHO QUEIMADO;4214300;-49,09067;-27,67412;4214300;Rancho Queimado;2748;7,68;53;27;80;;;NA
